Effective.date,S.P.500,Narcissus.Core.Equity.Sustainability.Fund..NAV.in...,Pietro.Advisory.Sustainable.Large.Cap.ETF..NAV.in...,Dow.Jones.U.S..Large.Cap.Total.Stock.Market.Index,S.P.500.Energy..Sector.,S.P.500.Utilities..Sector.,Effective.date,S.P.500.Communication.Services..Sector.,S.P.500.Consumer.Discretionary..Sector.,S.P.500.Consumer.Staples..Sector.,S.P.500.Financials..Sector.,S.P.500.Health.Care..Sector.,S.P.500.Industrials..Sector.,S.P.500.Information.Technology..Sector.,S.P.500.Materials..Sector.,S.P.500.Real.Estate..Sector.
1/7/2015,2077.42,43.3,64.33,4899.92,543.91,211.78,1/7/2015,154.25,613.5,495.1,333.13,868.59,468.17,696.22,305.05,176.67
3/8/2015,2098.04,41.56,65.1,4944.77,497.85,224.47,3/8/2015,152.03,634.22,516.77,338.98,884.77,464.97,708.69,286.14,184.57
1/9/2015,1913.85,40.82,59.45,4515.47,466.5,208.55,1/9/2015,142.81,578.55,474.03,304.3,792.09,429.08,648.14,262.98,170.14
1/10/2015,1923.82,43.81,59.82,4527.08,451.58,217.21,1/10/2015,140.14,593.66,484.82,305.75,772.86,431.03,663.26,253.55,177.72
2/11/2015,2104.05,41.19,65.1,4940.38,514.36,222.45,2/11/2015,149.6,645.16,514.95,329.21,841.48,476.77,741.61,286.17,193.38
1/12/2015,2102.63,39.91,65.04,4936.9,501.81,217.66,1/12/2015,148.03,646.5,509.85,333.66,834.21,476.85,746.82,288.41,190.08
4/1/2016,2012.66,38.36,62.35,4722.36,447.75,219.41,4/1/2016,149.15,609.89,511.68,315.14,817.31,456.94,710.26,269.07,187.93
1/2/2016,1939.38,39.05,60.16,4533.15,426.53,233.18,1/2/2016,159.59,591.68,521.91,291.21,769.83,435.2,687.49,245.6,181.71
1/3/2016,1978.35,41.37,61.36,4623.77,432.95,232.79,1/3/2016,164.56,605.68,526.46,293.66,780.42,460.93,696.43,269.18,184.17
1/4/2016,2072.78,41.08,64.28,4848.23,456,252.91,1/4/2016,172.21,631.61,550.37,306.18,793.79,484.44,743.45,283.74,197.56
2/5/2016,2081.43,42.22,64.43,4872.62,502.57,247.7,2/5/2016,168.3,637.53,541.15,317.11,811.02,489.78,701.4,296.68,195.46
1/6/2016,2099.33,42.14,65.01,4916.01,497.3,248.95,1/6/2016,165.37,627.94,543.06,320.23,825.49,483.81,731.73,294.84,194.93
1/7/2016,2102.95,43.54,65.17,4920.79,514.79,266.56,1/7/2016,183.85,625.95,563.26,306.76,834.22,489.3,713.96,290.79,206.62
1/8/2016,2170.84,44.53,67.35,5085.14,485.5,264.69,1/8/2016,180.93,648.63,560.71,318.14,874.9,503.28,771.8,303.28,213.72
1/9/2016,2170.86,44.54,67.24,5087.66,504.11,247.46,1/9/2016,172.68,639.79,556.55,328.95,837.59,506.55,785.64,305.37,204.37
3/10/2016,2161.2,43.44,66.89,5068.06,519.53,245.44,3/10/2016,170.75,635.67,543.26,319.45,832.52,505.07,798.64,300,197.17
1/11/2016,2111.72,43.81,65.41,4947.36,505.37,246.4,1/11/2016,156.16,615.31,538.71,326.47,775.01,490.42,794.08,291.9,185.74
